latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-18.39439,-57.41733,303.23,1.12,1.06,2024-06-27,0154,T,54,6.1NRT,286.18,8.69,N
-18.39598,-57.42776,302.87,1.12,1.06,2024-06-27,0154,T,52,6.1NRT,287.21,8.46,N
-18.53436,-58.60859,322.85,1.02,1.01,2024-06-27,0154,T,100,6.1NRT,286.78,24.16,N
-18.49158,-59.46587,301.21,1,1,2024-06-27,0154,T,39,6.1NRT,284.88,6.45,N
-18.48271,-59.46727,327.53,1,1,2024-06-27,0154,T,100,6.1NRT,285.82,28.32,N
-18.48401,-59.47656,306.12,1,1,2024-06-27,0154,T,67,6.1NRT,284.59,9.32,N
-18.23759,-59.49593,330.92,1,1,2024-06-27,0154,T,100,6.1NRT,287.57,32.43,N
-18.23889,-59.50522,306.15,1,1,2024-06-27,0154,T,67,6.1NRT,286.27,9.14,N
-18.7226,-63.31267,300.47,1.37,1.16,2024-06-27,0154,T,28,6.1NRT,284.34,9.83,N
-18.72411,-63.32544,334.77,1.38,1.16,2024-06-27,0154,T,100,6.1NRT,285.77,61.21,N
-18.72562,-63.33823,300.53,1.38,1.16,2024-06-27,0154,T,29,6.1NRT,283.48,10.22,N
-18.16007,-59.59936,331.82,1,1,2024-06-27,0154,T,100,6.1NRT,287.31,33.21,N
-18.16137,-59.60864,324.24,1,1,2024-06-27,0154,T,100,6.1NRT,286.8,23.97,N
-18.1512,-59.60075,343.34,1,1,2024-06-27,0154,T,100,6.1NRT,287.61,51.35,N
-18.1525,-59.61003,325.48,1,1,2024-06-27,0154,T,100,6.1NRT,286.79,25.44,N
-18.11745,-59.56493,301.1,1,1,2024-06-27,0154,T,38,6.1NRT,286.46,6.19,N
-18.11876,-59.5742,316.56,1,1,2024-06-27,0154,T,93,6.1NRT,287.52,16.85,N
-18.12005,-59.58348,314.63,1,1,2024-06-27,0154,T,90,6.1NRT,287.45,14.88,N
-18.114,-59.66975,354.29,1,1,2024-06-27,0154,T,100,6.1NRT,290,73.97,N
-18.1153,-59.67902,327.64,1,1,2024-06-27,0154,T,100,6.1NRT,287.81,27.98,N
-18.06998,-59.42062,332.52,1,1,2024-06-27,0154,T,100,6.1NRT,286.46,34.66,N
-18.07129,-59.4299,319.82,1,1,2024-06-27,0154,T,99,6.1NRT,286.13,19.94,N
-18.08459,-59.58905,323.27,1,1,2024-06-27,0154,T,100,6.1NRT,287.73,22.88,N
